stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
93449,11312-1,Kitseküla,59.42038978,24.73866103,93449,Kitseküla,Kesklinn,,6587176.5,541936.06,Harju1
34125,06412-1,Liiva,59.38748229,24.72299034,34125,,Nõmme,,6583501.0,541085.93,Harju1
10137,21106-1,Tallinn,59.44049842,24.73695437,10137,Tallinn; Balti Jaam,Põhja-Tallinn,,6589415.5,541814.56,Harju1
10138,21107-1,Tallinn,59.44021865,24.73722042,10138,Tallinn; Balti Jaam,Põhja-Tallinn,,6589384.5,541830.0,Harju1
10409,07410-1,Tondi,59.41093955,24.73341717,10409,Tondi,Kristiine,,6586120.5,541649.87,Harju1
10410,07411-1,Tondi,59.41110870000001,24.73367063,10410,Tondi,Kristiine,,6586139.5,541664.06,Harju1
10413,11205-1,Lilleküla,59.42565498,24.72732462,10413,Lilleküla,Kristiine,,6587756.0,541286.12,Harju1
10414,11206-1,Lilleküla,59.42460795,24.72836045,10414,Lilleküla,Kristiine,,6587640.0,541346.18,Harju1
10415,06805-1,Järve,59.40062479,24.72456648,10415,,Kristiine,,6584966.0,541159.68,Harju1
10416,06804-1,Järve,59.40120462,24.72523124,10416,,Kristiine,,6585031.0,541196.75,Harju1
10729,06306-1,Rahumäe,59.3889736,24.70458968,10729,,Nõmme,,6583656.0,540038.56,Harju1
10730,06307-1,Rahumäe,59.38854577,24.7023382,10730,,Nõmme,,6583607.0,539911.12,Harju1
10732,05408-1,Nõmme,59.386339,24.68760927,10732,,Nõmme,,6583352.5,539076.68,Harju1
10733,05409-1,Nõmme,59.38604496,24.68633089,10733,,Nõmme,,6583319.0,539004.37,Harju1
10734,04804-1,Hiiu,59.38294699,24.66997995,10734,Hiiu,Nõmme,,6582964.5,538078.62,Harju1
10735,04805-1,Hiiu,59.38321436,24.67123886,10735,Hiiu,Nõmme,,6582995.0,538149.87,Harju1
10738,05008-1,Kivimäe,59.3776053,24.65762553,10738,,Nõmme,,6582362.5,537382.31,Harju1
